epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.7424,0.70117,0.537,1,nan,0.000554185,0.000554185,0.000554185
2,111.887,0.69394,0.5,1,0.70331,0.00109886,0.00109886,0.00109886
3,164.385,0.69531,0.548,1,0.69125,0.00163254,0.00163254,0.00163254
4,217.127,0.69308,0.488,1,0.69769,0.00161749,0.00161749,0.00161749
5,270.336,0.69449,0.49,1,0.69489,0.00160099,0.00160099,0.00160099
6,322.853,0.69503,0.449,1,0.69333,0.00158448,0.00158448,0.00158448
7,375.528,0.69411,0.493,1,0.69308,0.00156798,0.00156798,0.00156798
8,428.651,0.69375,0.5,1,0.69308,0.00155148,0.00155148,0.00155148
9,481.702,0.69424,0.454,1,0.69403,0.00153497,0.00153497,0.00153497
10,534.377,0.69328,0.507,1,0.6933,0.00151847,0.00151847,0.00151847
11,587.027,0.69174,0.494,1,0.69589,0.00150197,0.00150197,0.00150197
12,639.905,0.69014,0.62,1,0.66203,0.00148546,0.00148546,0.00148546
13,692.671,0.69134,0.463,1,0.69648,0.00146896,0.00146896,0.00146896
14,745.626,0.6919,0.5,1,0.703,0.00145246,0.00145246,0.00145246
15,798.857,0.69178,0.547,1,0.66776,0.00143595,0.00143595,0.00143595
16,851.927,0.68875,0.619,1,0.6565,0.00141945,0.00141945,0.00141945
17,905.346,0.68379,0.624,1,0.63958,0.00140295,0.00140295,0.00140295
18,958.424,0.6834,0.647,1,0.6615,0.00138644,0.00138644,0.00138644
19,1011.83,0.67934,0.638,1,0.68482,0.00136994,0.00136994,0.00136994
20,1065.12,0.68871,0.63,1,0.68486,0.00135344,0.00135344,0.00135344
21,1118.33,0.69334,0.495,1,0.69365,0.00133693,0.00133693,0.00133693
22,1171.52,0.69006,0.637,1,0.67956,0.00132043,0.00132043,0.00132043
23,1224.64,0.68365,0.687,1,0.69278,0.00130393,0.00130393,0.00130393
24,1278.32,0.68116,0.598,1,0.59791,0.00128742,0.00128742,0.00128742
25,1331.63,0.68455,0.684,1,0.64004,0.00127092,0.00127092,0.00127092
26,1384.71,0.67331,0.684,1,0.65819,0.00125442,0.00125442,0.00125442
27,1438.05,0.66883,0.617,1,0.63787,0.00123791,0.00123791,0.00123791
28,1491.02,0.65349,0.613,1,0.67258,0.00122141,0.00122141,0.00122141
29,1543.63,0.62896,0.735,1,0.63198,0.00120491,0.00120491,0.00120491
30,1596.45,0.61602,0.662,1,0.64435,0.0011884,0.0011884,0.0011884
31,1649.12,0.60283,0.8,1,0.47181,0.0011719,0.0011719,0.0011719
32,1702.38,0.59127,0.712,1,0.55226,0.0011554,0.0011554,0.0011554
33,1755.73,0.57705,0.688,1,0.52906,0.00113889,0.00113889,0.00113889
34,1809.19,0.57298,0.61,1,0.65135,0.00112239,0.00112239,0.00112239
35,1863.7,0.55679,0.73,1,0.42314,0.00110589,0.00110589,0.00110589
36,1916.92,0.54423,0.724,1,0.44536,0.00108938,0.00108938,0.00108938
37,1969.9,0.54317,0.724,1,0.54322,0.00107288,0.00107288,0.00107288
38,2022.95,0.54559,0.741,1,0.47996,0.00105638,0.00105638,0.00105638
39,2076.17,0.53015,0.797,1,0.40926,0.00103987,0.00103987,0.00103987
40,2128.82,0.51499,0.67,1,0.54055,0.00102337,0.00102337,0.00102337
41,2181.63,0.49152,0.766,1,0.41511,0.00100687,0.00100687,0.00100687
42,2234.44,0.48783,0.759,1,0.42207,0.000990365,0.000990365,0.000990365
43,2287.38,0.46287,0.806,1,0.46137,0.000973861,0.000973861,0.000973861
44,2340.15,0.44283,0.799,1,0.47376,0.000957358,0.000957358,0.000957358
45,2393.25,0.39297,0.709,1,0.59993,0.000940855,0.000940855,0.000940855
46,2446.38,0.36951,0.675,1,0.9879,0.000924352,0.000924352,0.000924352
47,2499.08,0.35263,0.629,1,0.96699,0.000907848,0.000907848,0.000907848
48,2552,0.32893,0.616,1,1.0034,0.000891345,0.000891345,0.000891345
49,2604.92,0.30255,0.6,1,0.86442,0.000874842,0.000874842,0.000874842
50,2658.25,0.26562,0.638,1,1.10398,0.000858338,0.000858338,0.000858338
51,2711.04,0.27963,0.71,1,0.61754,0.000841835,0.000841835,0.000841835
52,2763.97,0.27016,0.62,1,1.09583,0.000825332,0.000825332,0.000825332
53,2816.94,0.22019,0.667,1,0.80547,0.000808828,0.000808828,0.000808828
54,2870.15,0.24909,0.675,1,0.91433,0.000792325,0.000792325,0.000792325
55,2923.39,0.20721,0.653,1,1.0155,0.000775822,0.000775822,0.000775822
56,2976.58,0.20983,0.666,1,1.02589,0.000759318,0.000759318,0.000759318
57,3029.35,0.20657,0.601,1,1.31347,0.000742815,0.000742815,0.000742815
58,3082.39,0.22079,0.591,1,1.68459,0.000726312,0.000726312,0.000726312
59,3135.48,0.18199,0.638,1,1.17933,0.000709809,0.000709809,0.000709809
60,3189.65,0.16537,0.629,1,1.26054,0.000693305,0.000693305,0.000693305
61,3242.85,0.17927,0.643,1,1.22524,0.000676802,0.000676802,0.000676802
62,3295.74,0.15164,0.646,1,1.29632,0.000660299,0.000660299,0.000660299
63,3348.67,0.17194,0.619,1,1.23463,0.000643795,0.000643795,0.000643795
64,3401.52,0.13511,0.593,1,1.515,0.000627292,0.000627292,0.000627292
65,3454.49,0.14131,0.606,1,1.14093,0.000610789,0.000610789,0.000610789
66,3507.6,0.12801,0.62,1,1.44839,0.000594286,0.000594286,0.000594286
67,3560.63,0.13781,0.664,1,0.91641,0.000577782,0.000577782,0.000577782
68,3613.55,0.15165,0.648,1,0.9973,0.000561279,0.000561279,0.000561279
69,3668.18,0.13356,0.716,1,0.85131,0.000544776,0.000544776,0.000544776
70,3720.85,0.14671,0.594,1,1.18703,0.000528272,0.000528272,0.000528272
71,3773.9,0.12564,0.616,1,1.48239,0.000511769,0.000511769,0.000511769
72,3826.82,0.11022,0.674,1,1.02909,0.000495266,0.000495266,0.000495266
73,3879.74,0.13919,0.634,1,1.36824,0.000478762,0.000478762,0.000478762
74,3932.8,0.10405,0.626,1,1.34676,0.000462259,0.000462259,0.000462259
75,3985.99,0.12537,0.627,1,1.24144,0.000445756,0.000445756,0.000445756
76,4039.16,0.11879,0.637,1,1.24813,0.000429253,0.000429253,0.000429253
77,4091.7,0.12409,0.639,1,1.0738,0.000412749,0.000412749,0.000412749
78,4144.52,0.08911,0.625,1,1.43169,0.000396246,0.000396246,0.000396246
79,4197.16,0.10532,0.673,1,1.0625,0.000379743,0.000379743,0.000379743
80,4249.99,0.1441,0.645,1,1.27162,0.000363239,0.000363239,0.000363239
81,4303.38,0.09588,0.655,1,1.04884,0.000346736,0.000346736,0.000346736
82,4356.59,0.10486,0.67,1,1.16614,0.000330233,0.000330233,0.000330233
83,4409.85,0.09893,0.654,1,1.20458,0.000313729,0.000313729,0.000313729
84,4463.39,0.10133,0.656,1,1.33998,0.000297226,0.000297226,0.000297226
85,4516.59,0.10922,0.666,1,1.32175,0.000280723,0.000280723,0.000280723
86,4570.07,0.10017,0.679,1,1.05707,0.00026422,0.00026422,0.00026422
87,4623.35,0.10186,0.665,1,1.16465,0.000247716,0.000247716,0.000247716
88,4676.28,0.093,0.646,1,1.19588,0.000231213,0.000231213,0.000231213
89,4729.37,0.09753,0.668,1,1.15029,0.00021471,0.00021471,0.00021471
90,4782.69,0.0909,0.642,1,1.21846,0.000198206,0.000198206,0.000198206
91,4836.44,0.08306,0.681,1,1.3393,0.000181703,0.000181703,0.000181703
92,4889.68,0.11122,0.697,1,0.97048,0.0001652,0.0001652,0.0001652
93,4942.94,0.10568,0.661,1,1.15103,0.000148696,0.000148696,0.000148696
94,4995.68,0.09545,0.691,1,1.02025,0.000132193,0.000132193,0.000132193
95,5048.71,0.09092,0.696,1,0.99085,0.00011569,0.00011569,0.00011569
96,5101.64,0.08362,0.695,1,1.09076,9.91865e-05,9.91865e-05,9.91865e-05
97,5154.4,0.10346,0.681,1,1.08073,8.26832e-05,8.26832e-05,8.26832e-05
98,5207.4,0.0723,0.688,1,1.08364,6.61799e-05,6.61799e-05,6.61799e-05
99,5260.84,0.08656,0.694,1,1.03962,4.96766e-05,4.96766e-05,4.96766e-05
100,5313.87,0.06918,0.69,1,1.0673,3.31733e-05,3.31733e-05,3.31733e-05
